x,y,z
67.59469930037453,430.741378296491,a
125.29051216243994,408.44095367935716,a
63.08824380708262,452.56946912742933,a
119.60687713161377,431.2481004967904,a
90.3304144660024,472.98226119413374,a
74.1466912965429,440.73942396100125,a
102.69499669898893,431.5294756071197,a
93.16962537958386,487.292796643641,a
119.33128575415316,449.72532804338454,a
94.0132661696811,471.1028231581501,a
173.83315976309996,473.50393056205155,a
103.533373552134,424.0090898921756,a
102.55476142152206,464.07261956474315,a
124.73816160812403,458.4506286782465,a
168.1050402783692,407.22614774295187,a
111.8922683225064,464.7608082052608,a
122.91676095738562,388.7851920842646,a
118.66063433683831,427.39043996290235,a
158.03405781966754,463.03340708659744,a
101.01159574407693,470.8684883943827,a
104.59597033770744,435.38768277858327,a
83.70099167345914,443.0776265444695,a
104.63398618415832,472.38510952073534,a
101.28449640008455,446.52083941932943,a
147.41070586628143,432.13556412807964,a
144.17995687351404,460.35940242454404,a
98.38589262980429,446.008250626576,a
147.87345084356232,418.6431456210739,a
156.56513873019287,409.38890945790047,a
118.93911971651133,501.9827541720777,a
164.4493686882869,458.9698393374494,a
188.07105005851943,400.40792292345054,a
185.29902400877953,434.54609437873347,a
200.07769127064915,410.38337738220184,a
173.8497487933081,415.2650097612427,a
142.06303304619016,407.97051891410797,a
157.67531162263555,433.5884966725846,a
114.58866919367216,403.5469075585784,a
208.26509488546407,457.2583904633784,a
152.22380974680823,385.3626622483341,a
157.80708592751827,346.7337457064667,a
189.6534434078621,413.3054974243113,a
200.1010824474766,372.6948649119394,a
175.99795142528865,426.8960964891135,a
194.1483671075434,362.1565520651627,a
188.30557107763335,369.8035356838252,a
181.86772159743992,332.3476332266463,a
153.5448491111781,347.57640651512656,a
154.875305275841,330.5282467626673,a
202.6266140503401,276.6275240749525,a
231.87119754995558,312.4417936760166,a
170.37227700980463,340.7861831554387,a
159.51751724546278,350.8042591427417,a
167.74457220955532,298.8742435274703,a
200.7119574564995,286.5440951436288,a
173.00624312475952,319.549671420742,a
163.35870891678184,283.9102713936769,a
177.54612797313683,306.4137533401267,a
193.77377585180244,322.16240173929236,a
237.4769580883707,284.7271599163849,a
193.81537791054222,310.2591376059887,a
175.35979811984825,258.8752450252135,a
208.83838560092855,223.5270833730914,a
215.96957717835176,271.0780519089819,a
191.29919056570714,208.3101335763235,a
190.78557726284734,203.20763476041463,a
225.40427708963702,221.93808794379504,a
164.81977973172985,200.95754158986784,a
215.95441758714603,188.12106826575382,a
197.369948243292,228.80949527456278,a
195.9279138467917,163.72676787167387,a
221.95271658073622,202.4446227231702,a
172.07669412748504,146.67552513029176,a
187.90296247005358,177.95568982476,a
200.0076799691002,174.27724528978115,a
166.90404699825086,172.41942322560516,a
201.30538829375465,154.01962289134923,a
205.02186680741417,168.68437496491174,a
211.13637562911646,144.11265326910404,a
194.91545057228456,156.34639193586383,a
190.93726621762949,161.6756151873384,a
160.15864596021942,193.70805691408907,a
189.62654540247163,143.03680469294915,a
173.02915857047833,180.96658918406018,a
163.9202037258106,145.8941794227316,a
163.1308733239792,147.33387056073116,a
176.5797692497689,129.0085166695776,a
160.89849563942258,153.69880558174373,a
143.7746892977096,112.47722363123916,a
112.21006815624126,119.46772961241038,a
146.2190856975218,110.3867043012662,a
62.71783732646329,109.83070885837844,a
92.19164636576016,90.76635801169368,a
29.389367950166502,130.80238016321198,a
109.00643800122218,79.76949571295233,a
128.99187339060106,115.39554616656932,a
54.7406500821717,123.96497889465945,a
137.74599682998704,118.81697928238322,a
51.76204198544753,103.54473406120934,a
88.92439691830403,131.39076620236256,a
104.52791480926567,149.37053806285275,a
65.6503988902119,144.02953108030073,a
91.7870773802928,151.15631256695218,a
118.34521674018245,175.591039941752,a
53.549087204475555,207.54310853885266,a
73.27245435936732,189.0085072986755,a
39.50078617982827,255.32870789630616,a
47.41821741007043,202.05425092423894,a
84.35202090534975,232.85394391307403,a
27.054763812483827,209.3522289253878,a
65.90032872457267,253.0581188947508,a
78.0288829348982,278.00924080739554,a
119.00361744197485,286.78110500717787,a
138.1708017863157,287.83727426935997,a
90.61477305103129,278.87400547128345,a
58.85299164118772,269.2500394486075,a
39.384996959924074,299.62289064819424,a
107.45800011863726,323.38545711523653,a
73.77229638602725,311.91577205034235,a
95.17881052926592,367.34586750247695,a
112.4801453652735,284.9582275320886,a
54.99372041374053,352.07288272793426,a
107.17786162447972,370.88061302683604,a
112.2996146423142,399.45367311085937,a
91.76855044135053,390.12528823989726,a
141.94669834854628,392.62745860540684,a
184.41412321241387,383.23218241422137,a
105.00900611699453,418.60289654325874,a
99.93756215282468,358.2840191474793,a
94.08573850296543,346.22660748107177,a
133.9826975517687,380.7103032615013,a
152.11724627316167,351.9123020417977,a
164.41706867009123,382.18220722150136,a
100.51761266243426,295.1333586899631,a
207.26280818440554,347.6196407796256,a
131.43538384297037,316.45663547147,a
158.97126647983714,271.5827278348014,a
172.93148793731785,301.25951323323017,a
199.98706786481495,302.6462679011514,a
175.04664933500163,319.49556638588615,a
156.62310084029397,255.66533229416606,a
206.39962045285267,263.96679703052166,a
134.70737164356504,272.1342401053153,a
130.41499043206716,198.6230452891981,a
169.71901450893083,159.47769764065384,a
160.8393064738193,187.1642521334432,a
173.31250238978126,196.62125803498895,a
174.9681396588636,105.32396036692177,a
206.71376281915673,129.32076056014245,a
149.5803632287159,162.72995920164857,a
211.60977347193543,129.36335937337503,a
179.89621337607616,113.07091912218704,a
122.19563085425958,177.1375834616739,a
164.96050167939703,116.42851988193729,a
116.59809782232806,97.12749386115411,a
180.58336496203617,157.05537440968686,a
146.28816731505498,147.3477057576249,a
141.99664185313097,154.7507221271788,a
123.58207140568575,177.1294034368408,a
128.53312339235396,139.52436525233122,a
127.96380458216078,224.53658319618455,a
149.779572292836,201.38828482825528,a
119.00472573476732,199.68551795793422,a
120.00825008530947,203.23296767583668,a
132.3512968870621,268.3294292571193,a
120.39220838862636,254.55208189031396,a
115.40910542534108,260.15252947269573,a
122.05916518256058,218.6177860647776,a
70.12189697266435,244.13166021762066,a
123.72643324492654,248.2998533375138,a
99.46467507335451,246.5481616298826,a
162.264373799518,220.7774432272617,a
127.56164174709915,291.59338659845275,a
129.04085492097738,191.8890002386011,a
101.81203132636635,287.4877191281181,a
88.72918970738093,250.5324771834777,a
133.08090615216406,281.78872342709076,a
89.3493683373229,268.8069906863741,a
113.34809961763571,269.3568414560197,a
149.24236764290137,284.125193484452,a
105.91906607817653,300.4581336822734,a
345.83557060792805,440.48564365104323,b
299.03377544868596,436.6117532872558,b
287.91321858782237,446.86314016070384,b
327.35821145770296,439.1697469007571,b
378.4645950848461,427.2672673040743,b
364.0300529363604,480.7677015471298,b
360.2309799709031,427.7320829467046,b
382.5666850051908,448.034402161984,b
420.9138147849309,445.1699822411885,b
422.3113884905601,461.5267683338454,b
487.53740052306534,436.19715677282204,b
474.1995249212028,423.2396149834463,b
415.7237312764599,479.47813522981613,b
488.86749442939157,392.7869809709614,b
476.59042864478795,434.57929365021477,b
483.3894156853162,415.8637767907815,b
539.3351530518556,404.47569394342395,b
534.7839101924883,456.518697377768,b
505.0124243331964,391.29988531653856,b
511.3612054665369,369.4129365597198,b
540.8448263797183,352.7857033798077,b
544.8318714132155,320.60437353170704,b
551.4927654440036,318.7957388071897,b
553.017511064522,289.38804492737563,b
561.1821684463755,300.71610160919204,b
552.3305561378842,275.99812522244144,b
572.7355703739228,251.41837874949164,b
591.5773182060833,215.6105804151756,b
561.5804485109636,206.06023469023847,b
547.1569360470747,264.11277704613445,b
545.3923430627256,197.42012725718843,b
547.9409387712324,176.67055440436587,b
571.5378209307408,107.73189811067357,b
598.942532953592,205.22372980579178,b
570.5084916490484,173.28167151914982,b
532.9817154656097,155.35523488198675,b
553.8158845997335,157.3418140828132,b
545.7747494377206,196.18754893227094,b
529.8192722628538,154.4137053766595,b
509.9917919503434,139.68516954596572,b
502.05233937937317,126.27821380720178,b
499.6063217788187,101.64082100130986,b
527.0055511442625,126.0293473936311,b
518.976445191787,122.40757350517464,b
525.8246300902786,155.80047609062154,b
509.3113711783641,103.67943179179304,b
518.898874582756,95.66182418077494,b
513.0776655537874,115.23891249807741,b
496.2338979253711,52.32457965799546,b
467.4925417074706,151.4895170030107,b
497.46106913939957,120.84869119941231,b
446.38828009742736,89.06062151399095,b
387.4558741028863,66.34007386704207,b
420.3800850966811,161.8802732907933,b
433.6838574338452,119.36218837502554,b
382.738368637316,180.935003700764,b
378.64225435367104,161.73901225422577,b
367.7843334052305,155.59637561302355,b
402.1340698609239,214.55121683719017,b
378.0250701604295,185.55352875545577,b
397.31407764934346,193.94910993023387,b
403.5378175201342,183.34542248485144,b
368.3452192119388,263.9999013503045,b
357.463930644342,226.20509551585002,b
349.9278736368807,222.57964243095245,b
304.2162739634926,262.83249095991494,b
375.70450406098644,279.1276056218902,b
322.54120526337624,256.4936181915805,b
347.0410111754611,279.1938922032365,b
340.4630509196847,263.18490588700433,b
361.5797772284926,340.31099239156936,b
349.23708908683795,353.39625162805356,b
325.844436647467,310.5755677542983,b
297.28262636785985,360.4507220373608,b
311.01674995809685,336.4700176098979,b
298.38853784745584,379.04513602755196,b
287.7631103951018,408.91590563589716,b
332.4735798666951,364.1546002898036,b
323.47228428562295,380.94639749010196,b
322.1917008358154,417.4388700966528,b
325.55339667279856,415.3196866102552,b
373.0856504475546,414.81410320071836,b
355.12328715705735,479.9439158277202,b
358.1846634149819,425.5748595723054,b
362.3904119608971,401.384691658974,b
346.1100393874241,400.35275856917053,b
381.29792484501706,445.1784190310349,b
332.2295964144803,440.7755441418452,b
378.4103931005897,444.5832818617289,b
439.4860099602068,407.2457489447962,b
391.7350651929274,431.6798155352688,b
458.031082537477,447.49400737334764,b
422.8432312949963,446.72484598658673,b
385.3913659659848,372.20897710767224,b
434.5204406586915,437.7204601839552,b
435.3564240174843,460.0733449404297,b
413.3908730313687,433.7454864575363,b
461.93885438336304,383.7173375194431,b
450.73057421040187,414.799257098295,b
467.58531451447976,350.3487186750819,b
476.58166262986657,388.1320361894972,b
508.76531454956927,377.83044525104947,b
428.7048139554676,358.9702951492076,b
473.8436880437409,334.28928525410015,b
448.20977973013896,334.30387059622933,b
483.637270534116,309.58251882222567,b
467.87707158776425,308.2587402731939,b
442.1747971707881,255.13426083908743,b
